Alcohol-Tc, Alcohol-Ign, Hi-T-Real-Tc, Hi-T-Real-Ign, Hi-T-Alc-Tc, Hi-T-Alc-Mod, Lo-T-Real-Tc, Lo-T-Real-Ign, Real-Mod-Tc, Real-Mod-Ign
0.79618,0.054247,1.0142,1.5696,0.76923,0.049000,1.4060,11.800,0.83333,0.14303
0.81169,0.067434,0.98912,1.2991,0.80000,0.083000,1.3609,8.7500,0.86207,0.25055
0.86356,0.16585,0.95420,0.98518,0.83333,0.14500,1.3198,8.7000,0.89286,0.42523
0.88339,0.24776,0.94967,0.87099,0.86957,0.26500,1.4445,20.000,0.92593,0.70022
0.90171,0.37938,0.86730,0.24789,0.90909,0.51200,1.4780,31.200,0.96154,1.1270
0.92081,0.50475,0.86356,0.23238,0.95238,1.0780,1.5058,59.000,1.0000,1.8357
0.94877,0.72172,0.78125,0.038659,1.0000,2.6000,1.5404,100.00,1.0417,3.0918
0.98232,1.8069,,,1.0526,6.8000,1.1024,6.2700,1.0638,4.0323
0.99404,1.4107,,,1.1111,20.800,1.1270,8.7600,1.0929,5.5535
1.0093,2.7295,,,1.1765,74.300,1.1628,12.250,1.1236,7.3711
1.0111,2.0111,,,1.2500,310.30,1.2017,13.600,1.1561,9.1163
1.0320,2.8661,,,1.3333,1540.0,1.2604,8.9000,1.1905,10.180
1.0504,2.3876,,,,,,,1.2270,10.252
1.0740,5.1097,,,,,,,1.2658,9.6687
1.1138,5.8654,,,,,,,1.3072,9.1950
1.1923,15.320,,,,,,,1.3514,9.7432
1.2107,17.600,,,,,,,1.3986,12.247
1.2256,20.640,,,,,,,1.4060,12.800
1.2706,23.240,,,,,,,1.4445,19.500
1.2749,28.640,,,,,,,1.4780,31.500
1.3185,36.160,,,,,,,1.5058,54.000
1.3564,49.800,,,,,,,1.5404,93.000
1.3797,66.760,,,,,,,,
