NR-Time     NR-Pres Reac-Time Reac-Pres
-10.0000    2.3757  -10.000 2.4037
-9.99000    2.3786  -9.9900 2.4058
-9.98000    2.3793  -9.9800 2.4101
-9.97000    2.3828  -9.9700 2.4119
-9.96000    2.3877  -9.9600 2.4139
-9.95000    2.3917  -9.9500 2.4163
-9.94000    2.3941  -9.9400 2.4209
-9.93000    2.3949  -9.9300 2.4255
-9.92000    2.3975  -9.9200 2.4276
-9.91000    2.4042  -9.9100 2.4300
-9.90000    2.4106  -9.9000 2.4343
-9.89000    2.4117  -9.8900 2.4372
-9.88000    2.4137  -9.8800 2.4398
-9.87000    2.4161  -9.8700 2.4445
-9.86000    2.4198  -9.8600 2.4491
-9.85000    2.4213  -9.8500 2.4528
-9.84000    2.4237  -9.8400 2.4554
-9.83000    2.4276  -9.8300 2.4587
-9.82000    2.4320  -9.8200 2.4655
-9.81000    2.4361  -9.8100 2.4700
-9.80000    2.4370  -9.8000 2.4714
-9.79000    2.4384  -9.7900 2.4740
-9.78000    2.4428  -9.7800 2.4766
-9.77000    2.4472  -9.7700 2.4819
-9.76000    2.4491  -9.7600 2.4857
-9.75000    2.4532  -9.7500 2.4883
-9.74000    2.4572  -9.7400 2.4893
-9.73000    2.4604  -9.7300 2.4915
-9.72000    2.4640  -9.7200 2.4972
-9.71000    2.4668  -9.7100 2.5021
-9.70000    2.4689  -9.7000 2.5022
-9.69000    2.4741  -9.6900 2.5041
-9.68000    2.4776  -9.6800 2.5092
-9.67000    2.4814  -9.6700 2.5137
-9.66000    2.4848  -9.6600 2.5166
-9.65000    2.4894  -9.6500 2.5173
-9.64000    2.4929  -9.6400 2.5208
-9.63000    2.4967  -9.6300 2.5237
-9.62000    2.5008  -9.6200 2.5257
-9.61000    2.5028  -9.6100 2.5292
-9.60000    2.5069  -9.6000 2.5334
-9.59000    2.5124  -9.5900 2.5370
-9.58000    2.5170  -9.5800 2.5402
-9.57000    2.5199  -9.5700 2.5422
-9.56000    2.5217  -9.5600 2.5454
-9.55000    2.5255  -9.5500 2.5489
-9.54000    2.5322  -9.5400 2.5540
-9.53000    2.5376  -9.5300 2.5573
-9.52000    2.5383  -9.5200 2.5582
-9.51000    2.5394  -9.5100 2.5616
-9.50000    2.5420  -9.5000 2.5671
-9.49000    2.5461  -9.4900 2.5723
-9.48000    2.5510  -9.4800 2.5739
-9.47000    2.5541  -9.4700 2.5752
-9.46000    2.5562  -9.4600 2.5797
-9.45000    2.5586  -9.4500 2.5858
-9.44000    2.5629  -9.4400 2.5904
-9.43000    2.5675  -9.4300 2.5945
-9.42000    2.5693  -9.4200 2.5970
-9.41000    2.5705  -9.4100 2.6013
-9.40000    2.5748  -9.4000 2.6057
-9.39000    2.5798  -9.3900 2.6089
-9.38000    2.5841  -9.3800 2.6129
-9.37000    2.5866  -9.3700 2.6156
-9.36000    2.5884  -9.3600 2.6194
-9.35000    2.5933  -9.3500 2.6248
-9.34000    2.5969  -9.3400 2.6270
-9.33000    2.5985  -9.3300 2.6304
-9.32000    2.6043  -9.3200 2.6354
-9.31000    2.6072  -9.3100 2.6386
-9.30000    2.6114  -9.3000 2.6421
-9.29000    2.6159  -9.2900 2.6440
-9.28000    2.6191  -9.2800 2.6464
-9.27000    2.6236  -9.2700 2.6507
-9.26000    2.6276  -9.2600 2.6544
-9.25000    2.6311  -9.2500 2.6563
